"TIME.M","SOG","AWS","AWA","COG","LAT","LON","TWS","TWA","AWS.range","TWS.range","AWA.range","TWA.range","target.SOG","diff.SOG","pol.perc"
2017-07-24 00:11:00,6.881,24.0548387096774,64.9032258064516,299.4,45.7020091111111,-84.1279381111111,22.0357025401473,81.329764903035,"(24,35]","(20,24]","(60,90]","(60,90]",7.28374473476838,-0.402744734768378,94.4706363356488
2017-07-24 00:12:00,7.18233333333333,23.191935483871,74.3467741935484,306.098666666667,45.7033818333333,-84.1298415555556,22.3509419192741,92.3714021729503,"(20,24]","(20,24]","(60,90]","(60,90]",7.58391338735831,-0.401580054024981,94.7048438779064
2017-07-24 00:13:00,7.181,23.3688524590164,75.5819672131148,309.639333333333,45.7046098888889,-84.1319549444444,22.6738077428297,93.44449785304,"(20,24]","(20,24]","(60,90]","(60,90]",7.62901213182502,-0.448012131825024,94.1275210461902
2017-07-24 00:14:00,6.975,22.4274193548387,74.6532258064516,312.196,45.7058432777778,-84.1340573888889,21.6526546213725,92.7513154916956,"(20,24]","(20,24]","(60,90]","(60,90]",7.55510655721494,-0.580106557214936,92.3216628008913
2017-07-24 00:15:00,6.77466666666667,20.8677419354839,72.4516129032258,310.566333333333,45.7070156111111,-84.1361532777778,19.90246980936,91.3900643608021,"(20,24]","(16,20]","(60,90]","(60,90]",7.47684214288115,-0.702175476214484,90.6086625503651
2017-07-24 00:16:00,7.03033333333333,23.13,69.55,310.518333333333,45.7082667777778,-84.1382136666667,21.6977601515529,87.2234680134865,"(20,24]","(20,24]","(60,90]","(60,90]",7.41339768342877,-0.383064350095436,94.8328099145186
2017-07-24 00:17:00,7.129,22.0161290322581,85.7338709677419,308.124666666667,45.7094988333333,-84.1402979444444,22.6314241517074,104.042273771968,"(20,24]","(20,24]","(60,90]","(60,90]",7.87660460037205,-0.747604600372046,90.5085422170775
2017-07-24 00:18:00,7.35,23.0596774193548,80.2741935483871,280.293333333333,45.7107650555556,-84.1423698333333,22.9892728339489,98.6422053644251,"(20,24]","(20,24]","(60,90]","(60,90]",7.76375736460944,-0.413757364609442,94.6706556480561
2017-07-24 00:19:00,7.189,21.141935483871,82.6048387096774,307.546666666667,45.7119575,-84.1444917222222,21.4368255700481,102.02955552683,"(20,24]","(20,24]","(60,90]","(60,90]",7.75087539767544,-0.561875397675442,92.7508136971992
2017-07-24 00:20:00,6.82733333333333,18.9754098360656,95.8852459016394,299.838,45.7129366111111,-84.1468374444444,20.8145654402183,114.928305172786,"(16,20]","(20,24]","(90,120]","(90,120]",8.00348522256739,-1.17615188923406,85.3045035190711
2017-07-24 00:21:00,7.18266666666667,20.5306451612903,76.8790322580645,309.656333333333,45.7139557222222,-84.1490196111111,20.1530841937118,97.1891119425205,"(20,24]","(20,24]","(60,90]","(60,90]",7.60643953597483,-0.423772869308166,94.4287617445202
2017-07-24 00:22:00,6.78566666666667,20.2903225806452,71.8145161290323,309.225666666667,45.7151040555556,-84.1512375555556,19.2821703878649,91.3467028233384,"(20,24]","(16,20]","(60,90]","(60,90]",7.46764156705313,-0.681974900386467,90.8675999743305
2017-07-24 00:23:00,7.07233333333333,21.3774193548387,73.2096774193548,304.801333333333,45.7162636666667,-84.1533971111111,20.4857129725146,92.5096915644979,"(20,24]","(20,24]","(60,90]","(60,90]",7.50689473589392,-0.434561402560591,94.2111696267333
2017-07-24 00:24:00,6.86233333333333,19.2245901639344,74.1967213114754,296.608333333333,45.7172606111111,-84.1557203333333,18.5693434798459,95.025936345137,"(16,20]","(16,20]","(60,90]","(60,90]",7.5113312661408,-0.648997932807466,91.3597482282137
2017-07-24 00:25:00,6.66,18.9112903225806,74.0967741935484,299.547333333333,45.7180700555556,-84.1581102222222,18.247437544152,94.6460835342454,"(16,20]","(16,20]","(60,90]","(60,90]",7.48057612835713,-0.82057612835713,89.0305757968759
2017-07-24 00:26:00,6.706,18.5619047619048,93.8015873015873,296.426666666667,45.7187575,-84.1604339444444,20.1499544374125,113.196199212157,"(16,20]","(20,24]","(90,120]","(90,120]",7.95418863093274,-1.24818863093274,84.3077818637754
2017-07-24 00:27:00,6.652,19.6241935483871,81.9354838709677,308.283333333333,45.7198667222222,-84.1625033888889,19.8174576650178,101.346603009595,"(16,20]","(16,20]","(60,90]","(60,90]",7.69830565843247,-1.04630565843247,86.4086241199531
2017-07-24 00:28:00,6.64766666666667,17.4180327868852,111.065573770492,285.804333333333,45.7205971111111,-84.1648691111111,20.756132772356,128.455363995452,"(16,20]","(20,24]","(90,120]","(90,120]",8.03823574356567,-1.390569076899,82.7005686165387
2017-07-24 00:29:00,6.73533333333333,19.4241935483871,81.2016129032258,310.761,45.7214925555556,-84.1670775555556,19.5612243795776,101.094871466055,"(16,20]","(16,20]","(60,90]","(60,90]",7.69075020942148,-0.955416876088143,87.5770653047902
